ID string
9/27/2020  14:36:12
 0.00   0.20  30 
    0.06  0.14  0.18
    0.09  0.13  0.20
    0.14  0.17  0.16
    0.00  0.08  0.08
    0.07  0.11  0.03
    0.06  0.16  0.02
    0.01  0.09  0.19
    0.10  0.18  0.12
    0.09  0.11  0.07
    0.04  0.03  0.07
    0.13  0.01  0.11
    0.10  0.18  0.11
    0.09  0.02  0.03
    0.11  0.18  0.03
    0.15  0.07  0.13
    0.18  0.08  0.05
    0.14  0.17  0.15
    0.01  0.14  0.12
    0.06  0.15  0.16
    0.06  0.19  0.02
    0.13  0.10  0.13
    0.09  0.08  0.07
    0.17  0.17  0.13
    0.11  0.17  0.13
    0.19  0.10  0.11
    0.16  0.16  0.11
    0.19  0.12  0.02
    0.02  0.10  0.06
    0.11  0.11  0.07
    0.19  0.05  0.02
